hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP13961	28206	0.008863	0.015954	0.031624	0.042083	0.107424	0.152663	0.119620	0.000000	0.027086	0.044175	0.026696	0.062646	0.005318	0.016521	0.011593	0.000532	0.000000	0.015458	0.029958	0.056442	0.046692	0.000035	0.024073	0.052932	0.017585	0.000000	0.038290	0.003084	0.021343	0.021130	0.000177
HIP13962	12674	0.008837	0.020830	0.022566	0.027773	0.113540	0.151649	0.118037	0.000000	0.029430	0.048761	0.033533	0.063358	0.003551	0.021619	0.010178	0.000395	0.000237	0.012703	0.034480	0.057204	0.059965	0.000158	0.022250	0.036847	0.012466	0.000000	0.036453	0.019094	0.017437	0.016569	0.000079
HIP13964	52815	0.006343	0.015337	0.030105	0.037641	0.097075	0.133314	0.127464	0.000019	0.031033	0.042469	0.034119	0.055098	0.004847	0.019805	0.012421	0.000417	0.000019	0.016492	0.033210	0.063334	0.059263	0.000076	0.024027	0.036448	0.013197	0.000000	0.044457	0.027303	0.019597	0.014901	0.000170
HIP13966	37534	0.007327	0.016438	0.027282	0.042815	0.103773	0.142191	0.110700	0.000000	0.031918	0.051820	0.032104	0.054511	0.003810	0.017531	0.009725	0.000453	0.000000	0.013668	0.032211	0.048170	0.053951	0.000000	0.021048	0.053818	0.012602	0.000000	0.049289	0.019209	0.017984	0.025364	0.000293
HIP13967	35207	0.006930	0.015480	0.030448	0.034709	0.099270	0.137018	0.106655	0.000000	0.026444	0.049053	0.037209	0.047377	0.004687	0.021445	0.013151	0.000653	0.000000	0.013548	0.037038	0.061834	0.053995	0.000000	0.017639	0.034397	0.014827	0.000028	0.050274	0.043912	0.023518	0.018150	0.000312
HIP13972	18603	0.015750	0.018814	0.021609	0.038703	0.103370	0.148094	0.095791	0.000000	0.030156	0.051927	0.041176	0.048809	0.005053	0.019244	0.011020	0.000538	0.000054	0.009192	0.024243	0.069344	0.045853	0.000054	0.023652	0.035048	0.015428	0.000000	0.028329	0.034833	0.027200	0.036607	0.000108
HIP13975	67281	0.008962	0.016855	0.036623	0.039729	0.101574	0.140842	0.121966	0.000000	0.025951	0.043073	0.033576	0.059214	0.005826	0.018534	0.011980	0.000297	0.000000	0.016141	0.035671	0.069901	0.044203	0.000015	0.018713	0.046492	0.014373	0.000000	0.034155	0.005960	0.019530	0.029607	0.000238
HIP13976	32728	0.008433	0.017325	0.029669	0.039324	0.100892	0.136214	0.115070	0.000000	0.028508	0.043632	0.037582	0.057810	0.004736	0.020655	0.011916	0.000917	0.000336	0.013016	0.030524	0.054479	0.056924	0.000031	0.021602	0.028569	0.014666	0.000000	0.045191	0.042196	0.021113	0.018577	0.000092
HIP13978	49771	0.008941	0.018907	0.021519	0.025939	0.110888	0.131924	0.107975	0.000000	0.032489	0.047377	0.034578	0.058247	0.004822	0.017420	0.011051	0.000422	0.000181	0.013863	0.033433	0.054731	0.058468	0.000060	0.022182	0.042515	0.014145	0.000020	0.057765	0.026160	0.019489	0.024251	0.000241
HIP13981	38499	0.005377	0.013896	0.048884	0.044365	0.090626	0.135744	0.120107	0.000000	0.029222	0.045170	0.040027	0.051118	0.003974	0.021715	0.011169	0.000390	0.000000	0.014598	0.034494	0.058703	0.053248	0.000026	0.020078	0.039949	0.011948	0.000000	0.040962	0.025689	0.017663	0.020702	0.000156
HIP13983	43517	0.006848	0.013834	0.039433	0.052807	0.101799	0.161408	0.122872	0.000000	0.030586	0.040720	0.028426	0.059425	0.004504	0.016982	0.011743	0.000529	0.000000	0.013029	0.029873	0.054760	0.047866	0.000092	0.021831	0.035159	0.013857	0.000000	0.036308	0.019808	0.019969	0.015327	0.000207
HIP13986	44722	0.005769	0.013752	0.033138	0.032355	0.084612	0.121953	0.113702	0.000022	0.030075	0.041814	0.034211	0.047404	0.003757	0.020102	0.011739	0.000559	0.000022	0.015093	0.032087	0.059613	0.069429	0.000022	0.022875	0.042686	0.012276	0.000000	0.068400	0.041255	0.020147	0.020817	0.000313
HIP13987	56168	0.009329	0.023821	0.028771	0.029572	0.107997	0.129291	0.126015	0.000000	0.031833	0.046254	0.039827	0.065108	0.005003	0.018605	0.012267	0.000463	0.000018	0.013958	0.032438	0.061067	0.057755	0.000036	0.025566	0.026047	0.012979	0.000000	0.040931	0.019994	0.016059	0.018836	0.000160
HIP13988	22575	0.007752	0.018870	0.024718	0.028173	0.120842	0.147907	0.118937	0.000000	0.020332	0.052049	0.053511	0.078140	0.007575	0.007353	0.005094	0.000443	0.000044	0.007796	0.025426	0.055061	0.072647	0.000044	0.021174	0.037829	0.012315	0.000044	0.038937	0.006955	0.019003	0.011030	0.000000
HIP13989	26316	0.006840	0.014022	0.057380	0.040128	0.094163	0.139345	0.125665	0.000000	0.027246	0.044422	0.035834	0.051186	0.004522	0.019190	0.011020	0.000456	0.000000	0.013148	0.032224	0.061978	0.057342	0.000038	0.023332	0.032110	0.011286	0.000038	0.036366	0.018810	0.016302	0.025422	0.000190
