hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP01218	172034	0.000715	0.040684	0.030261	0.041829	0.123115	0.127254	0.114919	0.000000	0.024437	0.032976	0.027588	0.047775	0.007243	0.011759	0.016828	0.000552	0.000000	0.027099	0.046706	0.075532	0.005458	0.000012	0.002162	0.014474	0.012189	0.000000	0.058552	0.047496	0.029645	0.032726	0.000012
HIP01219	198209	0.000772	0.039640	0.038525	0.024580	0.129136	0.142002	0.104390	0.000000	0.036123	0.032057	0.028944	0.056506	0.007684	0.011811	0.013037	0.000646	0.000010	0.027577	0.054448	0.081010	0.004677	0.000010	0.001963	0.013940	0.010938	0.000000	0.038394	0.046592	0.027668	0.026906	0.000015
HIP01220	182081	0.000423	0.034897	0.031645	0.050554	0.090668	0.130167	0.148165	0.000000	0.036791	0.025313	0.044854	0.044574	0.005717	0.009133	0.013423	0.000813	0.000005	0.028993	0.046820	0.089158	0.005904	0.000016	0.002054	0.020738	0.007129	0.000000	0.032650	0.043349	0.022627	0.033414	0.000005
HIP01223	276741	0.000412	0.039434	0.036612	0.057303	0.118562	0.135043	0.114847	0.000000	0.039394	0.029143	0.032095	0.059348	0.011361	0.010681	0.017439	0.000950	0.000000	0.024308	0.056710	0.082969	0.004904	0.000011	0.001868	0.016973	0.011093	0.000000	0.036666	0.006829	0.028460	0.026577	0.000007
HIP01232	155292	0.000534	0.029667	0.029577	0.062534	0.103714	0.149106	0.136015	0.000000	0.040736	0.026350	0.021083	0.059372	0.007521	0.009614	0.011836	0.000837	0.000000	0.028302	0.050692	0.071987	0.004772	0.000000	0.002022	0.012138	0.010335	0.000000	0.033994	0.035990	0.021695	0.039538	0.000039
HIP01253	163087	0.000871	0.053352	0.026440	0.069000	0.146781	0.136068	0.124007	0.000000	0.028966	0.025054	0.022338	0.054823	0.011521	0.006610	0.016605	0.000975	0.000006	0.021896	0.033534	0.077357	0.004648	0.000006	0.002195	0.019254	0.009038	0.000000	0.032240	0.031198	0.027685	0.017506	0.000025
HIP01255	336382	0.000568	0.025950	0.036435	0.052197	0.106953	0.137246	0.151381	0.000000	0.050820	0.023747	0.033789	0.049304	0.005309	0.008190	0.012061	0.000666	0.000000	0.029235	0.047202	0.080944	0.005155	0.000015	0.001923	0.020902	0.008800	0.000000	0.035460	0.039235	0.017816	0.018678	0.000021
HIP01264	262440	0.000495	0.031965	0.030468	0.056078	0.113466	0.148563	0.137498	0.000114	0.042166	0.021803	0.032404	0.046887	0.006771	0.007884	0.012010	0.000674	0.000000	0.024870	0.046834	0.084598	0.004938	0.000008	0.001909	0.013397	0.007971	0.000000	0.032491	0.051071	0.023255	0.019403	0.000008
HIP01266	275668	0.000548	0.028766	0.026180	0.059339	0.102478	0.140274	0.126848	0.000004	0.034353	0.033442	0.030341	0.050129	0.008035	0.008325	0.014568	0.000718	0.000000	0.022850	0.043933	0.079458	0.004966	0.000004	0.001919	0.022919	0.010306	0.000000	0.028480	0.056350	0.016806	0.047655	0.000004
HIP01298	227026	0.000515	0.030336	0.031058	0.044841	0.095641	0.132989	0.142385	0.000000	0.038079	0.023790	0.038313	0.052518	0.009105	0.009210	0.014465	0.000784	0.000026	0.032970	0.048792	0.069534	0.006766	0.000013	0.002048	0.019623	0.011422	0.000000	0.041519	0.050065	0.024543	0.028591	0.000057
